id,name,image_urls,price,description,subcategory,tax_id,quantity
946419003,Okrągły dywanik z juty,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F46%2F7e%2F467eeae67eb0c2f363bbcad0b069e3e13267dc11.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fed%2Ffc%2Fedfcf3ef876f2aff8c864f13f43ac0268547f512.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"144,99 PLN",Mały okrągły dywanik z tkanej juty.,Dywany,1,6
1195584001,Jutowa spódniczka na choinkę,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F36%2F51%2F36519a1e0457ac6479e40605f55bda7f205df26f.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_D120cm%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fe6%2Fb2%2Fe6b29c5da8c56b3afd91682dd8886c46309eddfe.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5BGH_D120cm%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"49,99 PLN","Okrągła jutowa spódniczka na choinkę. Wiązanie do mocowania wokół pnia choinki, aby zakryć podstawę.",Dywany,1,3
1123073001,Dywanik w kształcie wozu strażackiego,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F16%2F93%2F1693c97cf8202ac4ac73bf8774d8f47b0aec96e3.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F7c%2Ff2%2F7cf2255c5b47e9aa6c59a923749c7f470399e8fa.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"164,99 PLN","Puszysty bawełniany dywanik w kształcie wozu strażackiego. Długie włosie sprawia, że jest miękki i przyjemny dla stóp oraz tworzy przytulną atmosferę w pokoju dziecka. Szerokość 71 cm. Długość 126 cm. Antypoślizgowy spód.",Dywany,1,4
1121108001,Wzorzysty chodnik z frędzlami,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Feb%2F44%2Feb448f77ce3f72c7e4d61361819fb791bd02a3f6.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F32%2F10%2F3210c0a480e2346dfa9e9010a997c65d391c944e.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"349,99 PLN",Prostokątny tkaninowy chodnik we wzorzyste nadruki. Frędzle na krótszych bokach.,Dywany,1,6
1041462001,Wycieraczka z juty,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F88%2Fb8%2F88b84e42417b281a841876b42cce56c7a2f68c15.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F19%2Ffe%2F19fe8bd2b23a114c9f178bc9954275c403d5756d.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"79,99 PLN",Półkolista wycieraczka z plecionej juty. Antypoślizgowy spód.,Dywany,1,1
884404001,Okrągły chodnik z juty,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4a%2F0b%2F4a0bc043ba3461d0dbcfbd0fd2912591ffbb9fad.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5Bhome_rugs%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F5f%2F94%2F5f94f9771a7d27f74831760067808236d621eade.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"147,99 PLN",Okrągły chodnik z juty w kształcie niedźwiedzia z aplikacjami w kształcie uszu. Antypoślizgowy spód.,Dywany,1,5
1083388001,Chodnik z plecionej juty,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F17%2Ff6%2F17f6dc8d3b8672d6d0e76be9e3242cd2b31239f9.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F8a%2F1a%2F8a1ac945850bc2512dbd56b70a6dcfa2fb832801.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"209,99 PLN",Chodnik z plecionej juty z wyszywaną planszą do gry w klasy. Antypoślizgowy spód.,Dywany,1,7
1121109001,Wzorzysty chodnik z frędzlami,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F22%2Fb0%2F22b0eb0738c545c2aef188c2fcef1c651b6377a2.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F4c%2Fa6%2F4ca6b425bca8660103e3e3f067605a684973d7b7.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"169,99 PLN",Prostokątny tkaninowy chodnik we wzorzyste nadruki. Frędzle na krótkich bokach.,Dywany,1,10
1090402001,Bawełniany chodnik w puszyste kropki,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F71%2F38%2F7138b02d9c5104124b0507b36e2baa3023c219c7.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F48%2F69%2F4869ed1fa498d988840259d8a6948be41498f5cb.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"359,99 PLN","Chodnik z bawełnianej tkaniny w kropki w delikatnych kolorach stworzone z luźnej przędzy. Frędzle na krótkich bokach, antypoślizgowy spód.",Dywany,1,8
1099968001,Prostokątny chodnik z juty,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Ff0%2F6e%2Ff06e2f9b1e0cec327f80342d8367176fc33eeab2.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main];https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F41%2Fd4%2F41d4c587103a9969b5b01041330483b7c9df4340.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVEDETAIL%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url%5Bfile%3A%2Fproduct%2Fmain%5D,"399,99 PLN",Prostokątny jutowy chodnik w pleciony wzór.,Dywany,1,0
